id,name_zh,name_en,name_bn,category_group,category,parent_site,division,district,upazila_or_thana,latitude,longitude,address,description_zh,opening_hours,ticket_price,best_season,transport,contact,website,image_url,source_urls,source_type,verification_status,last_verified,notes
BD-POI-0001,孙德尔本斯,Sundarbans,সুন্দরবন,历史文化,Mangrove forest / World Heritage,,Khulna,"Khulna, Bagerhat, Satkhira",,21.7500000,88.7500000,,"Sundarbans位于孟加拉国Khulna大区的Khulna, Bagerhat, Satkhira，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。",,,旱季（约11月至次年3月）,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/Sun_in_Sunderbans.jpg,https://beautifulbangladesh.gov.bd/ | https://whc.unesco.org/en/list/798 | https://rsis.ramsar.org/RISapp/files/RISrep/BD560RIS.pdf | https://www.wikidata.org/wiki/Q4526,Bangladesh Tourism Board directory | specific authoritative source | Wikidata,景点级权威来源已核实；Wikidata坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0002,六十圆顶清真寺,Sixty Dome Mosque,ষাট গম্বুজ মসজিদ,宗教与考古,Mosque / World Heritage,Historic Mosque City of Bagerhat,Khulna,Bagerhat,Bagerhat Sadar,22.6745000,89.7418200,,Sixty Dome Mosque位于孟加拉国Khulna大区的Bagerhat，在本数据集中归为“宗教与考古”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,https://commons.wikimedia.org/wiki/Special:FilePath/Sixty_Dome_Mosque%2CBagerhat.jpg,https://beautifulbangladesh.gov.bd/ | https://whc.unesco.org/en/list/321 | https://www.wikidata.org/wiki/Q2834259,Bangladesh Tourism Board directory | specific authoritative source | Wikidata,景点级权威来源已核实；Wikidata坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0003,,Khan Jahan Ali's Tomb,,历史文化,Historic mausoleum,,Khulna,Bagerhat,Bagerhat Sadar,22.6609351,89.7583993,,Khan Jahan Ali's Tomb位于孟加拉国Khulna大区的Bagerhat，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=22.6609351&mlon=89.7583993#map=15/22.6609351/89.7583993,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0004,,Shilaidaha Kuthibari,,历史文化,Historic house / museum,,Khulna,Kushtia,Kumarkhali,23.9197559,89.2200005,,Shilaidaha Kuthibari位于孟加拉国Khulna大区的Kushtia，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=23.9197559&mlon=89.2200005#map=15/23.9197559/89.2200005,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0005,,Lalon Shah's Shrine,,历史文化,Cultural heritage,,Khulna,Kushtia,Kumarkhali,,,,Lalon Shah's Shrine位于孟加拉国Khulna大区的Kushtia，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/,Bangladesh Tourism Board directory,旅游局目录匹配；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0006,,Mujibnagar Memorial Complex,,博物馆与纪念地,Memorial,,Khulna,Meherpur,Mujibnagar,23.6694950,88.6033211,,Mujibnagar Memorial Complex位于孟加拉国Khulna大区的Meherpur，在本数据集中归为“博物馆与纪念地”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=23.669495&mlon=88.6033211#map=15/23.669495/88.6033211,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0007,,Michael Madhusudan Dutt Memorial House,,历史文化,Historic house / museum,,Khulna,Jashore,Keshabpur,22.8191838,89.1634768,,Michael Madhusudan Dutt Memorial House位于孟加拉国Khulna大区的Jashore，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=22.8191838&mlon=89.1634768#map=15/22.8191838/89.1634768,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0008,,Hardinge Bridge,,历史文化,Historic bridge,,"Rajshahi, Khulna","Pabna, Kushtia","Ishwardi, Bheramara",24.0704094,89.0388379,,"Hardinge Bridge位于孟加拉国Rajshahi, Khulna大区的Pabna, Kushtia，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。",,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.supremecourt.gov.bd/resources/documents/2157381_WritPetitionNo.7030of2022.pdf | https://www.openstreetmap.org/?mlat=24.0704094&mlon=89.0388379#map=15/24.0704094/89.0388379,Bangladesh Tourism Board directory | specific authoritative source | OpenStreetMap Photon,景点级权威来源已核实；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0009,,Paharpur Buddhist Monastery,,历史文化,Archaeological site / World Heritage,,Rajshahi,Naogaon,Badalgachhi,,,,Paharpur Buddhist Monastery位于孟加拉国Rajshahi大区的Naogaon，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://whc.unesco.org/en/list/322,Bangladesh Tourism Board directory | specific authoritative source,景点级权威来源已核实；坐标待补,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
BD-POI-0010,,Mahasthangarh,,历史文化,Archaeological site,,Rajshahi,Bogura,Shibganj,24.9515878,89.3516137,,Mahasthangarh位于孟加拉国Rajshahi大区的Bogura，在本数据集中归为“历史文化”。开放、通行和许可信息可能随季节或管理政策变化，出行前应向主管部门复核。,,,全年；通常11月至次年3月天气较舒适,出发前通过当地旅游部门或地图服务核实路线,,,,https://beautifulbangladesh.gov.bd/ | https://www.openstreetmap.org/?mlat=24.9515878&mlon=89.3516137#map=15/24.9515878/89.3516137,Bangladesh Tourism Board directory | OpenStreetMap Photon,旅游局目录匹配；OSM坐标自动匹配（待人工复核）,2026-07-11,开放时间、门票和通行许可具有时效性，未获可靠来源时留空。
